Parking Lot Asset ID,Park Name,Parking Spaces,Handicap Parking Spaces,GIS Coordinate,Access
32504,WESTWAY PARK,43,1,"(-79.5416256119935,43.6882302233167)",Public
32505,WEXFORD PARK,27,1,"(-79.2974278112541,43.73364378318)",Public
32514,WHITFIELD PARKETTE,14,1,"(-79.5717808953673,43.7589574299948)",Public
32548,WHITLAM WAREHOUSE - Building Grounds,38,,"(-79.5223686321629,43.602630787054)",Private
32506,WILLOWDALE PARK,38,,"(-79.4083975782467,43.7658327240462)",Public
32507,WISHING WELL PARK,92,1,"(-79.3153477649206,43.7696162307164)",Public
32509,WOODBINE BEACH PARK,80,3,"(-79.3086144392198,43.6633189030861)",Public
32508,WOODBINE BEACH PARK,230,3,"(-79.311290992215,43.6627340511553)",Public
49546,WOODBINE PARK,711,16,,
49547,WOODLANDS PARK,,,,
